date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:48	5193/5193	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2003:13:35%20GMT	http://www.yitherapy.com/static/ver/4.35.0.44/js/int/jquery.iv.customform.js	/yitherapy/www.yitherapy.com/static/ver/4.35.0.44/js/int/jquery.iv.customform.js	(from http://www.yitherapy.com/)
10:13:49	21068/21068	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20May%202013%2003:59:41%20GMT	http://www.yitherapy.com/static/js/ext/jquery.validate-1.11.1.min.js	/yitherapy/www.yitherapy.com/static/js/ext/jquery.validate-1.11.1.min.js	(from http://www.yitherapy.com/)
10:13:50	4804/4804	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2021%20Nov%202014%2010:03:34%20GMT	http://www.yitherapy.com/static/fonts/video-js/vjs.eot	/yitherapy/www.yitherapy.com/static/fonts/video-js/vjs.eot	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:51	4804/4804	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2021%20Nov%202014%2010:03:34%20GMT	http://www.yitherapy.com/static/fonts/video-js/vjs.eot?	/yitherapy/www.yitherapy.com/static/fonts/video-js/vjsd41d.eot	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:52	3492/3492	---M--	200	added ('OK')	text/plain	date:Fri,%2021%20Nov%202014%2010:03:34%20GMT	http://www.yitherapy.com/static/fonts/video-js/vjs.woff	/yitherapy/www.yitherapy.com/static/fonts/video-js/vjs.woff	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:53	4640/4640	---M--	200	added ('OK')	text/plain	date:Fri,%2021%20Nov%202014%2010:03:34%20GMT	http://www.yitherapy.com/static/fonts/video-js/vjs.ttf	/yitherapy/www.yitherapy.com/static/fonts/video-js/vjs.ttf	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:54	399/399	---M--	200	added ('OK')	image/gif	date:Fri,%2017%20May%202013%2003:59:41%20GMT	http://www.yitherapy.com/static/images/global/photogallery/spinner.gif	/yitherapy/www.yitherapy.com/static/images/global/photogallery/spinner.gif	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:55	1910/1910	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Apr%202008%2006:43:11%20GMT	http://www.yitherapy.com/static/images/global/circle_close_black.png	/yitherapy/www.yitherapy.com/static/images/global/circle_close_black.png	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:58	5274/5274	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2002:59:57%20GMT	http://www.yitherapy.com/design/bg_nav.jpg	/yitherapy/www.yitherapy.com/design/bg_nav.jpg	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:13:59	187/187	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Nov%202014%2010:08:39%20GMT	http://www.yitherapy.com/static/designs/images/repository/util_38x38_hamburger_menu.png	/yitherapy/www.yitherapy.com/static/designs/images/repository/util_38x38_hamburger_menu.png	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:14:00	135/135	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Nov%202014%2010:08:39%20GMT	http://www.yitherapy.com/static/designs/images/repository/util_7x7_minus.png	/yitherapy/www.yitherapy.com/static/designs/images/repository/util_7x7_minus.png	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:14:01	151/151	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Nov%202014%2010:08:39%20GMT	http://www.yitherapy.com/static/designs/images/repository/util_7x7_plus.png	/yitherapy/www.yitherapy.com/static/designs/images/repository/util_7x7_plus.png	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:14:03	96942/96942	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2001:18:08%20GMT	http://www.yitherapy.com/design/bg_bamboo_1600x1600.jpg	/yitherapy/www.yitherapy.com/design/bg_bamboo_1600x1600.jpg	(from http://www.yitherapy.com/__system/__css/1403211_tl.css)
10:14:03	1497/1497	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Nov%202014%2010:03:34%20GMT	http://www.yitherapy.com/static/images/global/mapescape/scroll-icon.png	/yitherapy/www.yitherapy.com/static/images/global/mapescape/scroll-icon.png	(from http://www.yitherapy.com/static/css/mapescape/mapescape.css)
10:14:03	116095/116095	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:19%20GMT	http://www.yitherapy.com/__system/__css/1403208_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1403208_tl.css	(from http://www.yitherapy.com/aboutus.html)
10:14:05	3821/3821	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202016%2003:17:55%20GMT	http://www.yitherapy.com/__system/__css/1403208.css	/yitherapy/www.yitherapy.com/__system/__css/1403208.css	(from http://www.yitherapy.com/aboutus.html)
10:14:09	116000/116000	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:28%20GMT	http://www.yitherapy.com/__system/__css/1407374_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1407374_tl.css	(from http://www.yitherapy.com/healthmaintenance.html)
10:14:11	4521/4521	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2015:08:02%20GMT	http://www.yitherapy.com/__system/__css/1407374.css	/yitherapy/www.yitherapy.com/__system/__css/1407374.css	(from http://www.yitherapy.com/healthmaintenance.html)
10:14:13	75535/75535	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2004:44:12%20GMT	http://www.yitherapy.com/design/tcm_exam_400x600.jpg	/yitherapy/www.yitherapy.com/design/tcm_exam_400x600.jpg	(from http://www.yitherapy.com/aboutus.html)
10:14:13	1718/1718	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Feb%202016%2010:57:33%20GMT	http://www.yitherapy.com/static/css/slick.css	/yitherapy/www.yitherapy.com/static/css/slick.css	(from http://www.yitherapy.com/healthmaintenance.html)
10:14:17	116058/116058	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:36%20GMT	http://www.yitherapy.com/__system/__css/1407349_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1407349_tl.css	(from http://www.yitherapy.com/tcmguasha.html)
10:14:19	4396/4396	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2015:08:06%20GMT	http://www.yitherapy.com/__system/__css/1407349.css	/yitherapy/www.yitherapy.com/__system/__css/1407349.css	(from http://www.yitherapy.com/tcmguasha.html)
10:14:23	115943/115943	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:33%20GMT	http://www.yitherapy.com/__system/__css/1407365_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1407365_tl.css	(from http://www.yitherapy.com/tcmacupuncture.html)
10:14:25	4414/4414	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2015:08:05%20GMT	http://www.yitherapy.com/__system/__css/1407365.css	/yitherapy/www.yitherapy.com/__system/__css/1407365.css	(from http://www.yitherapy.com/tcmacupuncture.html)
10:14:31	43550/43550	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Jan%202015%2003:13:23%20GMT	http://www.yitherapy.com/design/s2.jpg	/yitherapy/www.yitherapy.com/design/s2.jpg	(from http://www.yitherapy.com/tcmguasha.html)
10:14:32	115943/115943	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:37%20GMT	http://www.yitherapy.com/__system/__css/1407366_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1407366_tl.css	(from http://www.yitherapy.com/tcmtuina.html)
10:14:34	4414/4414	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2015:08:06%20GMT	http://www.yitherapy.com/__system/__css/1407366.css	/yitherapy/www.yitherapy.com/__system/__css/1407366.css	(from http://www.yitherapy.com/tcmtuina.html)
10:14:35	116000/116000	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:35%20GMT	http://www.yitherapy.com/__system/__css/1407367_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1407367_tl.css	(from http://www.yitherapy.com/tcmfirecupping.html)
10:14:37	43151/43151	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Jan%202015%2003:13:23%20GMT	http://www.yitherapy.com/design/s3.jpg	/yitherapy/www.yitherapy.com/design/s3.jpg	(from http://www.yitherapy.com/tcmacupuncture.html)
10:14:37	4594/4594	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Feb%202015%2001:54:29%20GMT	http://www.yitherapy.com/__system/__css/1407367.css	/yitherapy/www.yitherapy.com/__system/__css/1407367.css	(from http://www.yitherapy.com/tcmfirecupping.html)
10:14:41	115998/115998	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2004:18:27%20GMT	http://www.yitherapy.com/__system/__css/1403213_tl.css	/yitherapy/www.yitherapy.com/__system/__css/1403213_tl.css	(from http://www.yitherapy.com/Gallery.html)
10:14:43	3397/3397	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2014:54:34%20GMT	http://www.yitherapy.com/__system/__css/1403213.css	/yitherapy/www.yitherapy.com/__system/__css/1403213.css	(from http://www.yitherapy.com/Gallery.html)
10:14:45	598/598	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Nov%202014%2010:57:22%20GMT	http://www.yitherapy.com/ecommerce/skin/frontend/rwd/iv_responsive/css/sandbox.css	/yitherapy/www.yitherapy.com/ecommerce/skin/frontend/rwd/iv_responsive/css/sandbox.css	(from http://www.yitherapy.com/ecommerce/)
10:14:47	800/800	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Nov%202014%2010:57:14%20GMT	http://www.yitherapy.com/ecommerce/skin/frontend/base/default/sagepaysuite/css/sagePaySuite.css	/yitherapy/www.yitherapy.com/ecommerce/skin/frontend/base/default/sagepaysuite/css/sagePaySuite.css	(from http://www.yitherapy.com/ecommerce/)
10:14:51	170522/170522	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Feb%202015%2004:30:12%20GMT	http://www.yitherapy.com/design/exam_960w.jpg	/yitherapy/www.yitherapy.com/design/exam_960w.jpg	(from http://www.yitherapy.com/healthmaintenance.html)
10:14:51	48342/48342	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Jan%202015%2003:13:24%20GMT	http://www.yitherapy.com/design/s4.jpg	/yitherapy/www.yitherapy.com/design/s4.jpg	(from http://www.yitherapy.com/tcmfirecupping.html)
10:14:52	747/747	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Nov%202014%2010:56:59%20GMT	http://www.yitherapy.com/ecommerce/js/lib/ccard.js	/yitherapy/www.yitherapy.com/ecommerce/js/lib/ccard.js	(from http://www.yitherapy.com/ecommerce/)
10:14:55	4744/4744	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Nov%202014%2010:57:00%20GMT	http://www.yitherapy.com/ecommerce/js/scriptaculous/builder.js	/yitherapy/www.yitherapy.com/ecommerce/js/scriptaculous/builder.js	(from http://www.yitherapy.com/ecommerce/)
10:14:55	41647/41647	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Nov%202014%2010:56:59%20GMT	http://www.yitherapy.com/ecommerce/js/prototype/validation.js	/yitherapy/www.yitherapy.com/ecommerce/js/prototype/validation.js	(from http://www.yitherapy.com/ecommerce/)
10:14:56	163313/163313	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Nov%202014%2010:56:59%20GMT	http://www.yitherapy.com/ecommerce/js/prototype/prototype.js	/yitherapy/www.yitherapy.com/ecommerce/js/prototype/prototype.js	(from http://www.yitherapy.com/ecommerce/)
10:14:57	38745/38745	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Nov%202014%2010:57:00%20GMT	http://www.yitherapy.com/ecommerce/js/scriptaculous/effects.js	/yitherapy/www.yitherapy.com/ecommerce/js/scriptaculous/effects.js	(from http://www.yitherapy.com/ecommerce/)
